"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","passes name, slug, and description through to repo.create unchanged","createProject","2026-06-13","passed","2026-06-13","","","",""
"","1","accepts WARNING","isProjectHealthStatus","2026-06-13","passed","2026-06-13","","","",""
"","1","accepts MEDIUM","isFailureSeverity","2026-06-13","passed","2026-06-13","","","",""
"","7","slices topCriticalIssues to 3 even when more critical conditions fire","getProjectOverview","2026-06-13","passed","2026-06-13","","topFailurePatterns and topCriticalIssues","",""
"","38","classifies flaky and broken tests correctly when populated through ingestion","GET /api/v1/projects/:projectId/flaky-tests (integration)","2026-06-13","passed","2026-06-13","","seeded via ingest endpoint","",""
"","1","extracts failureMessage from <failure> element text content","junitXmlAdapter","2026-06-13","passed","2026-06-13","","failure and error extraction","",""
"","28","returns { items: [], total: 0 } when the project has no runs","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","listByProject","",""
"","2","maps IngestionFailedError to 422 INGESTION_FAILED with the adapter message","error-handler plugin","2026-06-13","passed","2026-06-13","","within /api/v1","",""
"","1","forwards days and bucketSize to runRepo.findFailureTrend","getFailureTrends","2026-06-13","passed","2026-06-13","","","",""
"","4","returns HEALTHY when all metrics are at their best (zero failures, zero broken, zero flaky)","evaluateHealth","2026-06-13","passed","2026-06-13","","HEALTHY","",""
"","5","wraps an object payload in a { data } envelope","success","2026-06-13","passed","2026-06-13","","","",""
"","24","persists timeout category for a timeout-flavoured failure","POST /api/v1/projects/:projectId/ingest (integration)","2026-06-13","passed","2026-06-13","","failure pattern extraction","",""
"","1","accepts PARTIAL","isTestRunStatus","2026-06-13","passed","2026-06-13","","","",""
"","6","runs BEGIN, awaits fn, runs COMMIT, releases, and returns the result","withTransaction","2026-06-13","passed","2026-06-13","","happy path","",""
"","1","rejects unknown strings","isTestCaseStatus","2026-06-13","passed","2026-06-13","","","",""
"","26","reaches occurrenceCount=5 after five upserts","PgFailurePatternRepository (integration)","2026-06-13","passed","2026-06-13","","upsertByPattern","",""
"","0","skips FAILED cases with no failureMessage AND no failureType (no signal)","extractFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","1","returns an envelope with exactly one key","success","2026-06-13","passed","2026-06-13","","","",""
"","1","preserves the input type through the generic parameter","success","2026-06-13","passed","2026-06-13","","","",""
"","1","produces the same pattern for two messages differing only in hex address","extractPattern","2026-06-13","passed","2026-06-13","","pattern stability","",""
"","2","throws 404 Run not found when the run belongs to a different project","getRun","2026-06-13","passed","2026-06-13","","","",""
"","1","returns { items: [] } when no buckets exist","getFailureTrends","2026-06-13","passed","2026-06-13","","","",""
"","22","does NOT persist the run when withTransaction rolls back","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","create","",""
"","0","returns STABLE when all results are SKIPPED (filtered to empty)","classifyReliability","2026-06-13","passed","2026-06-13","","STABLE classifications","",""
"","1","throws IngestionFailedError when a case has an unrecognised status","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","defensive validation","",""
"","20","is a no-op for empty input","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","createMany","",""
"","1","maps a testcase with no failure/error/skipped to PASSED","junitXmlAdapter","2026-06-13","passed","2026-06-13","","status mapping","",""
"","1","returns false for non-pg-shaped input: {""code"": 23505}","isUniqueViolation","2026-06-13","passed","2026-06-13","","","",""
"","32","topFailurePatterns and topCriticalIssues are empty arrays for a healthy project","GET /api/v1/projects/:projectId/overview (integration)","2026-06-13","passed","2026-06-13","","topFailurePatterns and topCriticalIssues","",""
"","1","maps Jest status failed to FAILED","jestAdapter","2026-06-13","passed","2026-06-13","","status mapping","",""
"","0","detects network category from ECONNREFUSED","extractPattern","2026-06-13","passed","2026-06-13","","category detection","",""
"","4","parses a complete body with testRun metadata and testCases","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","happy path","",""
"","1","produces the same pattern for two messages differing only in line number","extractPattern","2026-06-13","passed","2026-06-13","","pattern stability","",""
"","26","excludes runs from other projects","PgTestRunRepository (integration)","2026-06-13","passed","2026-06-13","","countByProject","",""
"","0","preserves status ERROR through parse","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","status round-trip","",""
"","1","omits executedAt when startTime is absent","jestAdapter","2026-06-13","passed","2026-06-13","","executedAt","",""
"","1","topFailurePatterns is empty when no patterns exist","getProjectOverview","2026-06-13","passed","2026-06-13","","topFailurePatterns and topCriticalIssues","",""
"","4","returns STABLE when all results are PASSED","classifyReliability","2026-06-13","passed","2026-06-13","","STABLE classifications","",""
"","1","detects assertion category from ""AssertionError""","extractPattern","2026-06-13","passed","2026-06-13","","category detection","",""
"","1","returns false for non-pg-shaped input: {}","isForeignKeyViolation","2026-06-13","passed","2026-06-13","","","",""
"","1","returns FLAKY for PASSED + FAILED + ERROR mix","classifyReliability","2026-06-13","passed","2026-06-13","","FLAKY classifications","",""
"","1","converts time attribute (seconds) to durationMs (ms, rounded)","junitXmlAdapter","2026-06-13","passed","2026-06-13","","duration","",""
"","24","returns a single summary with passCount when one test passes once","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","computeReliabilitySummaries","",""
"","22","404 RUN_NOT_FOUND for an unknown runId","test-run query endpoints (integration)","2026-06-13","passed","2026-06-13","","GET /api/v1/projects/:projectId/runs/:runId/cases","",""
"","1","serializes createdAt and updatedAt as ISO 8601 strings","listProjects","2026-06-13","passed","2026-06-13","","","",""
"","4","throws 404 when project does not exist","getProjectHealth","2026-06-13","passed","2026-06-13","","","",""
"","24","counts SKIPPED in skippedCount but excludes from pass/fail counts","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","computeReliabilitySummaries","",""
"","1","forwards the days argument to computeReliabilitySummaries","getFlakyTests","2026-06-13","passed","2026-06-13","","","",""
"","29","throws IngestionFailedError when input.kind is json","junitXmlAdapter","2026-06-13","passed","2026-06-13","","error cases","",""
"","7","returns empty arrays when totalRuns is 0 even with high inputs","detectIssues","2026-06-13","passed","2026-06-13","","","",""
"","5","contains the spec-defined values in order","FAILURE_SEVERITIES","2026-06-13","passed","2026-06-13","","","",""
"","15","returns a full HealthResponse with windowDays echoed","getProjectHealth","2026-06-13","passed","2026-06-13","","","",""
"","2","sets status = PARTIAL when only skipped cases are present","ingestTestRun","2026-06-13","passed","2026-06-13","","derived run fields","",""
"","21","200 returns empty items when no runs exist in window","GET /api/v1/projects/:projectId/failure-trends (integration)","2026-06-13","passed","2026-06-13","","","",""
"","0","maps Jest status pending to SKIPPED","jestAdapter","2026-06-13","passed","2026-06-13","","status mapping","",""
"","1","maps Playwright status failed to FAILED","playwrightAdapter","2026-06-13","passed","2026-06-13","","status mapping","",""
"","20","rejects a body missing the required name field","POST /api/v1/projects (integration)","2026-06-13","passed","2026-06-13","","400 VALIDATION_ERROR","",""
"","20","rejects unknown query parameter (additionalProperties: false)","GET /api/v1/projects (integration)","2026-06-13","passed","2026-06-13","","400 VALIDATION_ERROR","",""
"","43","emits BROKEN_TESTS_THRESHOLD critical when three distinct tests are BROKEN via ingest","GET /api/v1/projects/:projectId/health (integration)","2026-06-13","passed","2026-06-13","","warnings and critical issues","",""
"","1","preserves status PASSED through parse","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","status round-trip","",""
"","22","rejects a body missing the required slug field","POST /api/v1/projects (integration)","2026-06-13","passed","2026-06-13","","400 VALIDATION_ERROR","",""
"","1","parses startTime as a unix epoch ms number","jestAdapter","2026-06-13","passed","2026-06-13","","executedAt","",""
"","0","returns an empty payload when repo returns no items","listProjects","2026-06-13","passed","2026-06-13","","","",""
"","1","returns CRITICAL at 25 with database category","assignSeverity","2026-06-13","passed","2026-06-13","","CRITICAL — occurrenceCount >= 25 with elevated category","",""
"","4","maps UniqueConstraintError(projects_slug_key) to 409 DUPLICATE_PROJECT_SLUG","error-handler plugin","2026-06-13","passed","2026-06-13","","within /api/v1","",""
"","24","applies the default cap (50) when opts is omitted","PgFailurePatternRepository (integration)","2026-06-13","passed","2026-06-13","","listByProject","",""
"","1","propagates infrastructure errors from repo.findById unchanged","getProject","2026-06-13","passed","2026-06-13","","","",""
"","26","rejects unknown testRunId with ForeignKeyError","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","createMany","",""
"","4","contains the spec-defined values in order","PROJECT_HEALTH_STATUSES","2026-06-13","passed","2026-06-13","","","",""
"","21","404 PROJECT_NOT_FOUND for unknown projectId","GET /api/v1/projects/:projectId/failure-patterns (integration)","2026-06-13","passed","2026-06-13","","","",""
"","29","respects the limit","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","findRecentByFullName","",""
"","0","returns cases: [] when testCases is empty","canonicalJsonAdapter","2026-06-13","passed","2026-06-13","","empty testCases","",""
"","0","skips FAILED cases with whitespace-only failureMessage AND no failureType","extractFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","0","processes ERROR cases the same as FAILED cases","extractFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","25","aggregates mixed PASSED/FAILED across multiple runs for the same test","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","computeReliabilitySummaries","",""
"","23","persists via withTransaction when the tx commits","PgFailurePatternRepository (integration)","2026-06-13","passed","2026-06-13","","upsertByPattern","",""
"","1","maps a <skipped/> child element to SKIPPED","junitXmlAdapter","2026-06-13","passed","2026-06-13","","status mapping","",""
"","1","returns false for non-pg-shaped input: ""oops""","isUniqueViolation","2026-06-13","passed","2026-06-13","","","",""
"","1","returns BROKEN for a mix of FAILED and ERROR (both treated as failures)","classifyReliability","2026-06-13","passed","2026-06-13","","BROKEN classifications","",""
"","23","breaks occurrenceCount ties on lastSeenAt DESC","PgFailurePatternRepository (integration)","2026-06-13","passed","2026-06-13","","listByProject","",""
"","1","returns false for non-pg-shaped input: {""code"": 23503}","isForeignKeyViolation","2026-06-13","passed","2026-06-13","","","",""
"","1","extracts the first error message from the final failed result via errors[]","playwrightAdapter","2026-06-13","passed","2026-06-13","","failure message extraction","",""
"","2","classifies CRITICAL when there are 3 broken tests","getProjectHealth","2026-06-13","passed","2026-06-13","","","",""
"","4","returns the Project entity when repo.findById finds it","getProject","2026-06-13","passed","2026-06-13","","","",""
"","4","omits description from the repo.create payload when not provided","createProject","2026-06-13","passed","2026-06-13","","","",""
"","1","accepts SKIPPED","isTestCaseStatus","2026-06-13","passed","2026-06-13","","","",""
"","45","orders items by createdAt DESC (most recent first)","GET /api/v1/projects (integration)","2026-06-13","passed","2026-06-13","","200 success","",""
"","23","excludes cases from other runs","PgTestCaseRepository (integration)","2026-06-13","passed","2026-06-13","","findByTestRun","",""
"","1","rejects non-string inputs","isFailureSeverity","2026-06-13","passed","2026-06-13","","","",""
"","24","returns 404 with the PROJECT_NOT_FOUND envelope for an unknown UUID","GET /api/v1/projects/:projectId (integration)","2026-06-13","passed","2026-06-13","","404 PROJECT_NOT_FOUND","",""
"","2","throws 404 when project does not exist","getFailurePatterns","2026-06-13","passed","2026-06-13","","","",""
"","2","uses overrides.branch when supplied","ingestTestRun","2026-06-13","passed","2026-06-13","","overrides merging","",""
"","0","returns FLAKY for a 1-PASSED + 1-FAILED minimum mix","classifyReliability","2026-06-13","passed","2026-06-13","","FLAKY classifications","",""
"","20","404 PROJECT_NOT_FOUND for unknown projectId","GET /api/v1/projects/:projectId/failure-trends (integration)","2026-06-13","passed","2026-06-13","","","",""
"","4","does not emit at recentFailureRate=0.05 (boundary; > 0.05 required)","detectIssues","2026-06-13","passed","2026-06-13","","PASS_RATE_LOW / PASS_RATE_CRITICAL","",""
"","1","does not allow overrides to override status — derived status wins","ingestTestRun","2026-06-13","passed","2026-06-13","","overrides merging","",""
